recipe_id	recipe_name	category	menu_roles	pricing_status	ingredient	qty_per_person	unit
puttanesca	Spaghetti alla puttanesca	primo	primo	BLOCKED_UNTIL_QUANTITIES_VERIFIED	aglio	0.5	spicchio
puttanesca	Spaghetti alla puttanesca	primo	primo	BLOCKED_UNTIL_QUANTITIES_VERIFIED	olio extravergine di oliva	10	ml
puttanesca	Spaghetti alla puttanesca	primo	primo	BLOCKED_UNTIL_QUANTITIES_VERIFIED	peperoncino		g
puttanesca	Spaghetti alla puttanesca	primo	primo	BLOCKED_UNTIL_QUANTITIES_VERIFIED	prezzemolo		g
pasta_patate_provola	Pasta e patate con provola	primo	primo	ALLOWED	pasta mista	85	g
pasta_patate_provola	Pasta e patate con provola	primo	primo	ALLOWED	patate	220	g
pasta_patate_provola	Pasta e patate con provola	primo	primo	ALLOWED	provola	45	g
pasta_patate_provola	Pasta e patate con provola	primo	primo	ALLOWED	cipolla	25	g
pasta_patate_provola	Pasta e patate con provola	primo	primo	ALLOWED	sedano	15	g
pasta_patate_provola	Pasta e patate con provola	primo	primo	ALLOWED	olio extravergine di oliva	12	ml
pasta_fagioli	Pasta e fagioli	primo	primo	ALLOWED	pasta mista	85	g
pasta_fagioli	Pasta e fagioli	primo	primo	ALLOWED	fagioli cotti	180	g
pasta_fagioli	Pasta e fagioli	primo	primo	ALLOWED	pomodoro	60	g
pasta_fagioli	Pasta e fagioli	primo	primo	ALLOWED	aglio	0.5	spicchio
pasta_fagioli	Pasta e fagioli	primo	primo	ALLOWED	olio extravergine di oliva	12	ml
pasta_ceci	Pasta e ceci	primo	primo	ALLOWED	pasta mista	85	g
pasta_ceci	Pasta e ceci	primo	primo	ALLOWED	ceci cotti	180	g
pasta_ceci	Pasta e ceci	primo	primo	ALLOWED	aglio	0.5	spicchio
pasta_ceci	Pasta e ceci	primo	primo	ALLOWED	olio extravergine di oliva	12	ml
pasta_ceci	Pasta e ceci	primo	primo	ALLOWED	rosmarino	1	g
pasta_piselli	Pasta e piselli	primo	primo	ALLOWED	pasta corta	85	g
pasta_piselli	Pasta e piselli	primo	primo	ALLOWED	piselli	180	g
pasta_piselli	Pasta e piselli	primo	primo	ALLOWED	cipolla	30	g
pasta_piselli	Pasta e piselli	primo	primo	ALLOWED	olio extravergine di oliva	12	ml
pasta_zucca	Pasta e zucca	primo	primo	ALLOWED	pasta mista	85	g
pasta_zucca	Pasta e zucca	primo	primo	ALLOWED	zucca	250	g
pasta_zucca	Pasta e zucca	primo	primo	ALLOWED	aglio	0.5	spicchio
pasta_zucca	Pasta e zucca	primo	primo	ALLOWED	olio extravergine di oliva	12	ml
pasta_zucca	Pasta e zucca	primo	primo	ALLOWED	prezzemolo	3	g
parmigiana_melanzane	Parmigiana di melanzane	piatto_unico	piatto_unico,secondo,contorno	BLOCKED_UNTIL_QUANTITIES_VERIFIED	melanzane	300	g
parmigiana_melanzane	Parmigiana di melanzane	piatto_unico	piatto_unico,secondo,contorno	BLOCKED_UNTIL_QUANTITIES_VERIFIED	passata di pomodoro	180	g
parmigiana_melanzane	Parmigiana di melanzane	piatto_unico	piatto_unico,secondo,contorno	BLOCKED_UNTIL_QUANTITIES_VERIFIED	provola o mozzarella	70	g
parmigiana_melanzane	Parmigiana di melanzane	piatto_unico	piatto_unico,secondo,contorno	BLOCKED_UNTIL_QUANTITIES_VERIFIED	formaggio grattugiato	20	g
parmigiana_melanzane	Parmigiana di melanzane	piatto_unico	piatto_unico,secondo,contorno	BLOCKED_UNTIL_QUANTITIES_VERIFIED	olio	20	ml
parmigiana_melanzane	Parmigiana di melanzane	piatto_unico	piatto_unico,secondo,contorno	BLOCKED_UNTIL_QUANTITIES_VERIFIED	basilico		g
zucchine_scapece	Zucchine alla scapece	contorno	contorno	ALLOWED	zucchine	250	g
zucchine_scapece	Zucchine alla scapece	contorno	contorno	ALLOWED	olio	20	ml
zucchine_scapece	Zucchine alla scapece	contorno	contorno	ALLOWED	aceto	10	ml
zucchine_scapece	Zucchine alla scapece	contorno	contorno	ALLOWED	aglio	0.5	spicchio
zucchine_scapece	Zucchine alla scapece	contorno	contorno	ALLOWED	menta	2	g
melanzane_funghetto	Melanzane a funghetto	contorno	contorno	ALLOWED	melanzane	250	g
melanzane_funghetto	Melanzane a funghetto	contorno	contorno	ALLOWED	pomodorini	120	g
melanzane_funghetto	Melanzane a funghetto	contorno	contorno	ALLOWED	olio	18	ml
melanzane_funghetto	Melanzane a funghetto	contorno	contorno	ALLOWED	aglio	0.5	spicchio
melanzane_funghetto	Melanzane a funghetto	contorno	contorno	ALLOWED	basilico	2	g
peperoni_imbottiti	Peperoni imbottiti	piatto_unico	piatto_unico,secondo,contorno	ALLOWED	peperoni	300	g
peperoni_imbottiti	Peperoni imbottiti	piatto_unico	piatto_unico,secondo,contorno	ALLOWED	pane raffermo	70	g
peperoni_imbottiti	Peperoni imbottiti	piatto_unico	piatto_unico,secondo,contorno	ALLOWED	olive	20	g
peperoni_imbottiti	Peperoni imbottiti	piatto_unico	piatto_unico,secondo,contorno	ALLOWED	capperi	8	g
peperoni_imbottiti	Peperoni imbottiti	piatto_unico	piatto_unico,secondo,contorno	ALLOWED	acciughe	12	g
peperoni_imbottiti	Peperoni imbottiti	piatto_unico	piatto_unico,secondo,contorno	ALLOWED	olio	12	ml
scarola_imbottita	Scarola imbottita	piatto_unico	piatto_unico,secondo,contorno	ALLOWED	scarola	250	g
scarola_imbottita	Scarola imbottita	piatto_unico	piatto_unico,secondo,contorno	ALLOWED	olive	20	g
scarola_imbottita	Scarola imbottita	piatto_unico	piatto_unico,secondo,contorno	ALLOWED	capperi	8	g
scarola_imbottita	Scarola imbottita	piatto_unico	piatto_unico,secondo,contorno	ALLOWED	acciughe	12	g
scarola_imbottita	Scarola imbottita	piatto_unico	piatto_unico,secondo,contorno	ALLOWED	pangrattato	35	g
salsiccia_friarielli	Salsiccia e friarielli	secondo	secondo	ALLOWED	salsiccia	180	g
salsiccia_friarielli	Salsiccia e friarielli	secondo	secondo	ALLOWED	friarielli	250	g
salsiccia_friarielli	Salsiccia e friarielli	secondo	secondo	ALLOWED	aglio	0.5	spicchio
salsiccia_friarielli	Salsiccia e friarielli	secondo	secondo	ALLOWED	olio	12	ml
polpette_sugo	Polpette al sugo	secondo	secondo	ALLOWED	carne macinata	170	g
polpette_sugo	Polpette al sugo	secondo	secondo	ALLOWED	pane	50	g
polpette_sugo	Polpette al sugo	secondo	secondo	ALLOWED	uova	0.5	pz
polpette_sugo	Polpette al sugo	secondo	secondo	ALLOWED	formaggio grattugiato	15	g
polpette_sugo	Polpette al sugo	secondo	secondo	ALLOWED	passata di pomodoro	200	g
coniglio_ischitana	Coniglio all'ischitana	secondo	secondo	ALLOWED	coniglio	250	g
coniglio_ischitana	Coniglio all'ischitana	secondo	secondo	ALLOWED	pomodorini	120	g
coniglio_ischitana	Coniglio all'ischitana	secondo	secondo	ALLOWED	aglio	0.5	spicchio
coniglio_ischitana	Coniglio all'ischitana	secondo	secondo	ALLOWED	vino bianco	30	ml
coniglio_ischitana	Coniglio all'ischitana	secondo	secondo	ALLOWED	olio	15	ml
alici_indorate	Alici indorate e fritte	secondo	secondo	ALLOWED	alici fresche	220	g
alici_indorate	Alici indorate e fritte	secondo	secondo	ALLOWED	uova	0.5	pz
alici_indorate	Alici indorate e fritte	secondo	secondo	ALLOWED	farina	30	g
alici_indorate	Alici indorate e fritte	secondo	secondo	ALLOWED	olio per friggere	30	ml
polpo_luciana	Polpo alla luciana	secondo	secondo	ALLOWED	polpo	250	g
polpo_luciana	Polpo alla luciana	secondo	secondo	ALLOWED	pomodorini	150	g
polpo_luciana	Polpo alla luciana	secondo	secondo	ALLOWED	olive	20	g
polpo_luciana	Polpo alla luciana	secondo	secondo	ALLOWED	capperi	8	g
polpo_luciana	Polpo alla luciana	secondo	secondo	ALLOWED	olio	12	ml
impepata_cozze	Impepata di cozze	secondo	secondo	ALLOWED	cozze	500	g
impepata_cozze	Impepata di cozze	secondo	secondo	ALLOWED	pepe nero	1	g
impepata_cozze	Impepata di cozze	secondo	secondo	ALLOWED	prezzemolo	3	g
mozzarella_carrozza	Mozzarella in carrozza	piatto_unico	piatto_unico,secondo	BLOCKED_UNTIL_VARIANT_SELECTED	pane	100	g
mozzarella_carrozza	Mozzarella in carrozza	piatto_unico	piatto_unico,secondo	BLOCKED_UNTIL_VARIANT_SELECTED	mozzarella	100	g
mozzarella_carrozza	Mozzarella in carrozza	piatto_unico	piatto_unico,secondo	BLOCKED_UNTIL_VARIANT_SELECTED	uova	0.5	pz
mozzarella_carrozza	Mozzarella in carrozza	piatto_unico	piatto_unico,secondo	BLOCKED_UNTIL_VARIANT_SELECTED	farina	20	g
mozzarella_carrozza	Mozzarella in carrozza	piatto_unico	piatto_unico,secondo	BLOCKED_UNTIL_VARIANT_SELECTED	olio per friggere	25	ml
pizza_scarola	Pizza di scarola	piatto_unico	piatto_unico	BLOCKED_UNTIL_QUANTITIES_VERIFIED	impasto pizza	180	g
pizza_scarola	Pizza di scarola	piatto_unico	piatto_unico	BLOCKED_UNTIL_QUANTITIES_VERIFIED	scarola	180	g
pizza_scarola	Pizza di scarola	piatto_unico	piatto_unico	BLOCKED_UNTIL_QUANTITIES_VERIFIED	olive	20	g
pizza_scarola	Pizza di scarola	piatto_unico	piatto_unico	BLOCKED_UNTIL_QUANTITIES_VERIFIED	capperi	8	g
pizza_scarola	Pizza di scarola	piatto_unico	piatto_unico	BLOCKED_UNTIL_QUANTITIES_VERIFIED	acciughe	10	g
pizza_scarola	Pizza di scarola	piatto_unico	piatto_unico	BLOCKED_UNTIL_QUANTITIES_VERIFIED	aglio		g
pizza_scarola	Pizza di scarola	piatto_unico	piatto_unico	BLOCKED_UNTIL_QUANTITIES_VERIFIED	peperoncino		g
spaghetti_colatura	Spaghetti con colatura di alici di Cetara	primo	primo	ALLOWED	spaghetti	90	g
spaghetti_colatura	Spaghetti con colatura di alici di Cetara	primo	primo	ALLOWED	colatura di alici	10	ml
spaghetti_colatura	Spaghetti con colatura di alici di Cetara	primo	primo	ALLOWED	olio extravergine di oliva	12	ml
spaghetti_colatura	Spaghetti con colatura di alici di Cetara	primo	primo	ALLOWED	aglio	0.5	spicchio
spaghetti_colatura	Spaghetti con colatura di alici di Cetara	primo	primo	ALLOWED	prezzemolo	3	g
scialatielli_frutti_mare	Scialatielli ai frutti di mare	primo	primo	ALLOWED	scialatielli	110	g
scialatielli_frutti_mare	Scialatielli ai frutti di mare	primo	primo	ALLOWED	frutti di mare misti	250	g
scialatielli_frutti_mare	Scialatielli ai frutti di mare	primo	primo	ALLOWED	pomodorini	120	g
scialatielli_frutti_mare	Scialatielli ai frutti di mare	primo	primo	ALLOWED	aglio	0.5	spicchio
scialatielli_frutti_mare	Scialatielli ai frutti di mare	primo	primo	ALLOWED	olio	12	ml
spaghetti_aglio_olio	Spaghetti aglio, olio e peperoncino	primo	primo	ALLOWED	spaghetti	90	g
spaghetti_aglio_olio	Spaghetti aglio, olio e peperoncino	primo	primo	ALLOWED	aglio	0.7	spicchio
spaghetti_aglio_olio	Spaghetti aglio, olio e peperoncino	primo	primo	ALLOWED	olio extravergine di oliva	15	ml
spaghetti_aglio_olio	Spaghetti aglio, olio e peperoncino	primo	primo	ALLOWED	peperoncino	0.5	g
spaghetti_aglio_olio	Spaghetti aglio, olio e peperoncino	primo	primo	ALLOWED	prezzemolo	3	g
baba_pronto	Babà	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
sfogliatella_riccia_pronta	Sfogliatella riccia	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
sfogliatella_frolla_pronta	Sfogliatella frolla	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
monachina_pronta	Monachina	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
delizia_limone_pronta	Delizia al limone	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
biscotto_amarena_pronto	Biscotto all'amarena	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
migliaccio_pronto	Migliaccio	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
pastiera_pronta	Pastiera	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
zeppola_san_giuseppe_pronta	Zeppola di San Giuseppe	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
struffoli_pronti	Struffoli	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
mustaccioli_pronti	Mustaccioli	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
roccoco_pronti	Roccocò	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
susamielli_pronti	Susamielli	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
raffioli_pronti	Raffioli	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
sospiri_limone_pronti	Sospiri al limone	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
torrone_benevento_pronto	Torrone di Benevento	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
torrone_croccantino_pronto	Torrone croccantino di San Marco dei Cavoti	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
amaretto_caposele_pronto	Amaretto di Caposele	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
guanto_caleno_pronto	Guanto caleno	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
cannolo_irpino_pronto	Cannolo irpino	dolce	dolce	BLOCKED_UNTIL_SELECTED_SUPERMARKET_MATCH			
pasta_genovese_napoletana_v29	Pasta alla genovese	primo	primo		ziti	80.0	g
pasta_genovese_napoletana_v29	Pasta alla genovese	primo	primo		cipolle dorate	250.0	g
pasta_genovese_napoletana_v29	Pasta alla genovese	primo	primo		polpa di manzo	200.0	g
pasta_genovese_napoletana_v29	Pasta alla genovese	primo	primo		vino bianco secco	25.0	g
pasta_genovese_napoletana_v29	Pasta alla genovese	primo	primo		sedano	15.0	g
pasta_genovese_napoletana_v29	Pasta alla genovese	primo	primo		carota	15.0	g
pasta_genovese_napoletana_v29	Pasta alla genovese	primo	primo		alloro		
pasta_genovese_napoletana_v29	Pasta alla genovese	primo	primo		prezzemolo		
pasta_genovese_napoletana_v29	Pasta alla genovese	primo	primo		parmigiano o caciocavallo		
pasta_genovese_napoletana_v29	Pasta alla genovese	primo	primo		olio extravergine di oliva		
pasta_genovese_napoletana_v29	Pasta alla genovese	primo	primo		sale		
pasta_genovese_napoletana_v29	Pasta alla genovese	primo	primo		pepe nero		
ragu_napoletano_v29	Ragù	primo	primo		costine di maiale	125.0	g
ragu_napoletano_v29	Ragù	primo	primo		cipolla bianca	0.25	pz
ragu_napoletano_v29	Ragù	primo	primo		pomodori San Marzano pelati	250.0	g
ragu_napoletano_v29	Ragù	primo	primo		peperoncino	0.25	pz
ragu_napoletano_v29	Ragù	primo	primo		alloro	0.25	foglia
ragu_napoletano_v29	Ragù	primo	primo		vino rosso	25.0	ml
ragu_napoletano_v29	Ragù	primo	primo		olio extravergine di oliva		
ragu_napoletano_v29	Ragù	primo	primo		sale		
ragu_napoletano_v29	Ragù	primo	primo		pepe		
gatto_patate_napoletano_v29	Gattò di patate	piatto_unico	secondo,contorno		patate a pasta gialla	375.0	g
gatto_patate_napoletano_v29	Gattò di patate	piatto_unico	secondo,contorno		uova	0.75	pz
gatto_patate_napoletano_v29	Gattò di patate	piatto_unico	secondo,contorno		provola fresca o fiordilatte	50.0	g
gatto_patate_napoletano_v29	Gattò di patate	piatto_unico	secondo,contorno		salame napoletano	62.5	g
gatto_patate_napoletano_v29	Gattò di patate	piatto_unico	secondo,contorno		pecorino	12.5	g
gatto_patate_napoletano_v29	Gattò di patate	piatto_unico	secondo,contorno		parmigiano reggiano	25.0	g
gatto_patate_napoletano_v29	Gattò di patate	piatto_unico	secondo,contorno		latte intero	25.0	g
gatto_patate_napoletano_v29	Gattò di patate	piatto_unico	secondo,contorno		pangrattato		
gatto_patate_napoletano_v29	Gattò di patate	piatto_unico	secondo,contorno		burro		
gatto_patate_napoletano_v29	Gattò di patate	piatto_unico	secondo,contorno		sale		
gatto_patate_napoletano_v29	Gattò di patate	piatto_unico	secondo,contorno		pepe		
spigola_acqua_pazza_v29	Spigola all'acqua pazza	secondo	secondo		tranci di spigola	120.0	g
spigola_acqua_pazza_v29	Spigola all'acqua pazza	secondo	secondo		pomodorini del Piennolo	50.0	g
spigola_acqua_pazza_v29	Spigola all'acqua pazza	secondo	secondo		vino bianco secco	50.0	g
spigola_acqua_pazza_v29	Spigola all'acqua pazza	secondo	secondo		aglio	25.0	g
spigola_acqua_pazza_v29	Spigola all'acqua pazza	secondo	secondo		finocchio	25.0	g
spigola_acqua_pazza_v29	Spigola all'acqua pazza	secondo	secondo		sedano	25.0	g
spigola_acqua_pazza_v29	Spigola all'acqua pazza	secondo	secondo		prezzemolo	25.0	g
spigola_acqua_pazza_v29	Spigola all'acqua pazza	secondo	secondo		scarola	60.0	g
spigola_acqua_pazza_v29	Spigola all'acqua pazza	secondo	secondo		filetti di acciuga	0.375	pz
spigola_acqua_pazza_v29	Spigola all'acqua pazza	secondo	secondo		olio extravergine di oliva		
spigola_acqua_pazza_v29	Spigola all'acqua pazza	secondo	secondo		sale		
polpo_ischitana_v29	Polpo all'ischitana	secondo	secondo		polpo verace	200.0	g
polpo_ischitana_v29	Polpo all'ischitana	secondo	secondo		vino bianco secco	75.0	ml
polpo_ischitana_v29	Polpo all'ischitana	secondo	secondo		aglio	0.25	spicchio
polpo_ischitana_v29	Polpo all'ischitana	secondo	secondo		olio extravergine di oliva		
polpo_ischitana_v29	Polpo all'ischitana	secondo	secondo		prezzemolo fresco		
polpo_ischitana_v29	Polpo all'ischitana	secondo	secondo		peperoncino essiccato		
polpo_ischitana_v29	Polpo all'ischitana	secondo	secondo		sale		
crocche_patate_napoletani_v29	Crocchè di patate	contorno	contorno		patate a pasta gialla	250.0	g
crocche_patate_napoletani_v29	Crocchè di patate	contorno	contorno		tuorli d'uovo	0.75	pz
crocche_patate_napoletani_v29	Crocchè di patate	contorno	contorno		pecorino romano	25.0	g
crocche_patate_napoletani_v29	Crocchè di patate	contorno	contorno		parmigiano reggiano	12.5	g
crocche_patate_napoletani_v29	Crocchè di patate	contorno	contorno		provola affumicata	37.5	g
crocche_patate_napoletani_v29	Crocchè di patate	contorno	contorno		prezzemolo fresco		
crocche_patate_napoletani_v29	Crocchè di patate	contorno	contorno		sale		
crocche_patate_napoletani_v29	Crocchè di patate	contorno	contorno		pepe nero		
crocche_patate_napoletani_v29	Crocchè di patate	contorno	contorno		pangrattato		
crocche_patate_napoletani_v29	Crocchè di patate	contorno	contorno		albumi	0.5	pz
crocche_patate_napoletani_v29	Crocchè di patate	contorno	contorno		olio di semi di arachidi		
friarielli_padella_v29	Friarielli in padella	contorno	contorno		friarielli	200.0	g
friarielli_padella_v29	Friarielli in padella	contorno	contorno		aglio	0.5	spicchio
friarielli_padella_v29	Friarielli in padella	contorno	contorno		peperoncino	0.25	pz
friarielli_padella_v29	Friarielli in padella	contorno	contorno		olio extravergine di oliva		
friarielli_padella_v29	Friarielli in padella	contorno	contorno		sale		
zucchine_trifolate_v29	Zucchine trifolate	contorno	contorno		zucchine medie	1.0	pz
zucchine_trifolate_v29	Zucchine trifolate	contorno	contorno		aglio	0.25	spicchio
zucchine_trifolate_v29	Zucchine trifolate	contorno	contorno		olio extravergine di oliva		
zucchine_trifolate_v29	Zucchine trifolate	contorno	contorno		sale		
zucchine_trifolate_v29	Zucchine trifolate	contorno	contorno		pepe		
zucchine_trifolate_v29	Zucchine trifolate	contorno	contorno		prezzemolo fresco		
finocchi_gratinati_v29	Finocchi gratinati	contorno	contorno		finocchi	250.0	g
finocchi_gratinati_v29	Finocchi gratinati	contorno	contorno		burro	8.75	g
finocchi_gratinati_v29	Finocchi gratinati	contorno	contorno		parmigiano grattugiato	8.75	g
finocchi_gratinati_v29	Finocchi gratinati	contorno	contorno		latte	75.0	g
finocchi_gratinati_v29	Finocchi gratinati	contorno	contorno		burro per besciamella	7.5	g
finocchi_gratinati_v29	Finocchi gratinati	contorno	contorno		farina 00	7.5	g
finocchi_gratinati_v29	Finocchi gratinati	contorno	contorno		sale		
finocchi_gratinati_v29	Finocchi gratinati	contorno	contorno		noce moscata		
peperoni_padella_napoletana_v29	Peperoni in padella	contorno	contorno		peperoni di colori diversi	1.5	pz
peperoni_padella_napoletana_v29	Peperoni in padella	contorno	contorno		filetti di acciuga	0.75	pz
peperoni_padella_napoletana_v29	Peperoni in padella	contorno	contorno		aglio	0.25	spicchio
peperoni_padella_napoletana_v29	Peperoni in padella	contorno	contorno		capperi	0.5	cucchiaio
peperoni_padella_napoletana_v29	Peperoni in padella	contorno	contorno		olive nere	25.0	g
peperoni_padella_napoletana_v29	Peperoni in padella	contorno	contorno		olio extravergine di oliva	0.75	cucchiaio
peperoni_padella_napoletana_v29	Peperoni in padella	contorno	contorno		sale		
peperoni_padella_napoletana_v29	Peperoni in padella	contorno	contorno		basilico		
melanzane_scapece_v29	Melanzane alla scapece	contorno	contorno		melanzane	0.5	pz
melanzane_scapece_v29	Melanzane alla scapece	contorno	contorno		aceto di vino bianco	0.75	cucchiaio
melanzane_scapece_v29	Melanzane alla scapece	contorno	contorno		aglio	0.5	spicchio
melanzane_scapece_v29	Melanzane alla scapece	contorno	contorno		olio extravergine di oliva		
melanzane_scapece_v29	Melanzane alla scapece	contorno	contorno		menta fresca		
melanzane_scapece_v29	Melanzane alla scapece	contorno	contorno		sale		
melanzane_scapece_v29	Melanzane alla scapece	contorno	contorno		olio di semi per frittura		
carciofi_napoletana_v29	Carciofi con olive e capperi	contorno	contorno		carciofi	1.25	pz
carciofi_napoletana_v29	Carciofi con olive e capperi	contorno	contorno		olive nere di Gaeta	30.0	g
carciofi_napoletana_v29	Carciofi con olive e capperi	contorno	contorno		capperi sotto sale	7.5	g
carciofi_napoletana_v29	Carciofi con olive e capperi	contorno	contorno		aglio	0.25	spicchio
carciofi_napoletana_v29	Carciofi con olive e capperi	contorno	contorno		peperoncino	0.25	pz
carciofi_napoletana_v29	Carciofi con olive e capperi	contorno	contorno		prezzemolo		
carciofi_napoletana_v29	Carciofi con olive e capperi	contorno	contorno		limone	0.25	pz
carciofi_napoletana_v29	Carciofi con olive e capperi	contorno	contorno		olio extravergine di oliva	1.5	cucchiaio
carciofi_napoletana_v29	Carciofi con olive e capperi	contorno	contorno		sale		
scarola_padella_napoletana_v29	Scarola in padella	contorno	contorno		scarola	0.5	cespo
scarola_padella_napoletana_v29	Scarola in padella	contorno	contorno		aglio	0.375	spicchio
scarola_padella_napoletana_v29	Scarola in padella	contorno	contorno		pinoli	7.5	g
scarola_padella_napoletana_v29	Scarola in padella	contorno	contorno		olive di Gaeta		
scarola_padella_napoletana_v29	Scarola in padella	contorno	contorno		uva passa		
scarola_padella_napoletana_v29	Scarola in padella	contorno	contorno		acciughe sott'olio	0.375	filetto
scarola_padella_napoletana_v29	Scarola in padella	contorno	contorno		olio extravergine di oliva		
scarola_padella_napoletana_v29	Scarola in padella	contorno	contorno		sale		
paccheri_gamberi_v30	Paccheri ai gamberi e pomodori	primo	primo	READY_FOR_PRODUCT_MAPPING	paccheri	87.5	g
paccheri_gamberi_v30	Paccheri ai gamberi e pomodori	primo	primo	READY_FOR_PRODUCT_MAPPING	gamberi	100	g
paccheri_gamberi_v30	Paccheri ai gamberi e pomodori	primo	primo	READY_FOR_PRODUCT_MAPPING	pomodori	125	g
paccheri_gamberi_v30	Paccheri ai gamberi e pomodori	primo	primo	READY_FOR_PRODUCT_MAPPING	vino bianco	37.5	ml
paccheri_gamberi_v30	Paccheri ai gamberi e pomodori	primo	primo	READY_FOR_PRODUCT_MAPPING	cipolla		
paccheri_gamberi_v30	Paccheri ai gamberi e pomodori	primo	primo	READY_FOR_PRODUCT_MAPPING	origano		
paccheri_gamberi_v30	Paccheri ai gamberi e pomodori	primo	primo	READY_FOR_PRODUCT_MAPPING	prezzemolo		
paccheri_gamberi_v30	Paccheri ai gamberi e pomodori	primo	primo	READY_FOR_PRODUCT_MAPPING	olio extravergine di oliva		
paccheri_gamberi_v30	Paccheri ai gamberi e pomodori	primo	primo	READY_FOR_PRODUCT_MAPPING	sale		
paccheri_vongole_seppie_v30	Paccheri con vongole e seppie	primo	primo	READY_FOR_PRODUCT_MAPPING	paccheri	87.5	g
paccheri_vongole_seppie_v30	Paccheri con vongole e seppie	primo	primo	READY_FOR_PRODUCT_MAPPING	vongole	250	g
paccheri_vongole_seppie_v30	Paccheri con vongole e seppie	primo	primo	READY_FOR_PRODUCT_MAPPING	seppie pulite	30	g
paccheri_vongole_seppie_v30	Paccheri con vongole e seppie	primo	primo	READY_FOR_PRODUCT_MAPPING	pomodorini		
